# Sbach EPP
000000000;4291421866;0;Tx; 
000000000;4270521449;0;Rx; 
000000000;4270521449;1;U Rx;V
000000000;4270521449;2;A1; 
000000000;4270521449;3;A2; 
000000000;4270521449;4;Q;%
000000000;4310522287;0;MUI-75; 
000000000;4310522287;1;Voltage;V
000000000;4310522287;2;Current;A
000000000;4310522287;3;Capacity;mAh
000000000;4310522287;4;Run time;s
001741705;4310522287;1;1;1;118;2;1;1;87;3;4;0;113;4;5;0;30
001741870;4270521449;1;1;2;492;2;1;0;8;3;1;0;9;4;1;0;100
001741909;4310522287;1;1;1;117;2;1;1;122;3;4;0;114;4;5;0;31
001742154;4310522287;1;1;1;120;2;1;1;9;3;4;0;114;4;5;0;31
001742330;4310522287;1;1;1;120;2;1;1;7;3;4;0;114;4;5;0;31
001742390;4270521449;1;1;2;491;2;1;0;8;3;1;0;8;4;1;0;100
001742590;4310522287;1;1;1;114;2;1;1;285;3;4;0;115;4;5;0;31
001742810;4310522287;1;1;1;111;2;1;1;434;3;4;0;117;4;5;0;31
001742910;4270521449;1;1;2;491;2;1;0;8;3;1;0;8;4;1;0;100
001743010;4310522287;1;1;1;112;2;1;1;416;3;4;0;120;4;5;0;31
001743229;4310522287;1;1;1;111;2;1;1;411;3;4;0;122;4;5;0;32
001743430;4270521449;1;1;2;492;2;1;0;8;3;1;0;8;4;1;0;100
001743437;4310522287;1;1;1;111;2;1;1;405;3;4;0;125;4;5;0;32
001743650;4310522287;1;1;1;112;2;1;1;323;3;4;0;127;4;5;0;32
001743870;4310522287;1;1;1;113;2;1;1;299;3;4;0;129;4;5;0;32
001743950;4270521449;1;1;2;491;2;1;0;8;3;1;0;8;4;1;0;100
001744069;4310522287;1;1;1;113;2;1;1;300;3;4;0;131;4;5;0;32
001744311;4310522287;1;1;1;113;2;1;1;299;3;4;0;133;4;5;0;33
001744470;4270521449;1;1;2;491;2;1;0;8;3;1;0;8;4;1;0;100
001744510;4310522287;1;1;1;113;2;1;1;294;3;4;0;134;4;5;0;33
001744710;4310522287;1;1;1;113;2;1;1;296;3;4;0;136;4;5;0;33
001744930;4310522287;1;1;1;113;2;1;1;302;3;4;0;138;4;5;0;33
001744990;4270521449;1;1;2;473;2;1;0;8;3;1;0;7;4;1;0;100
